PAN Card Number,Age,Occupation,Annual Income,Property Tax Paid,School Fees,Grocery Expenses,Healthcare Costs,Lifestyle Expenditure,Bank Balance,Loan Amount,Income Declared,Estimated Actual Income,Fraud Flag,Total Expenses
ABC738,55,Self-Employed,334772,19506,20788,15196,5701,72533,82541,24641,339789,284418.9341956162,0,240906
ABC422,56,Employee,541107,36968,16237,12878,9351,36741,40217,28953,221407,560987.0841652968,1,181345
ABC210,22,Employee,737933,44879,8783,10610,3647,44070,112419,14790,140241,856349.958050085,1,239198
ABC311,58,Student,198321,30671,15239,16285,6853,42726,27709,2147,232355,235444.40808824287,1,141630
ABC300,46,Student,687602,39529,28150,13012,8477,55740,146208,15284,150488,691824.8682178537,1,306400
ABC398,37,Retired,526794,43808,23412,12367,8665,47191,75405,37761,71199,587552.0689390128,1,248609
ABC867,47,Self-Employed,299251,33365,15090,11183,3052,21967,107004,1644,345574,277207.0489039401,0,193305
ABC521,31,Employee,308021,40412,29950,6447,4581,22745,68076,13037,124679,267654.18128228304,1,185248
ABC888,31,Student,52226,21992,10035,10461,4309,66522,77375,59865,98000,61698.371868390284,0,250559
ABC263,41,Student,315403,41635,22207,15666,3468,76923,25803,6753,303914,258329.27021583484,0,192455
ABC939,42,Self-Employed,463421,27598,20946,15280,3403,73522,78604,2687,251695,484310.71393734706,1,222040
ABC194,27,Student,788819,19300,10087,12128,5265,15165,49602,29617,187336,655270.1774530424,1,141164
ABC173,34,Entrepreneur,647938,22723,14123,13182,9619,46906,36044,23306,265298,603956.3011944613,1,165903
ABC673,36,Self-Employed,680950,29320,13051,5971,8294,79908,124140,38905,355443,692165.5699226052,1,299589
ABC213,29,Employee,772620,48584,28310,5798,6068,66551,36015,58068,238766,894774.0291255935,1,249394
ABC186,59,Self-Employed,554483,45677,14948,11207,6406,53511,117642,41928,290341,602885.9035131066,1,291319
ABC541,29,Employee,724489,26394,27297,13956,9927,10224,45055,50022,33047,713749.7746287202,1,182875
ABC228,39,Employee,536420,22803,13296,13393,5379,56632,31402,33907,375534,580429.9978438027,1,176812
ABC635,40,Entrepreneur,410248,32328,14917,8976,7295,23849,121775,41457,30029,393289.1345769662,1,250597
ABC736,57,Entrepreneur,239102,19863,18798,16256,7309,52209,134476,32141,110070,205706.28000505894,1,281052
ABC941,57,Employee,285271,33805,10148,12258,8027,41622,128766,44671,166047,330462.58873955667,1,279297
ABC132,40,Self-Employed,265705,30682,12074,17265,7946,57871,142648,8736,194433,267490.3128193836,1,277222
ABC258,51,Self-Employed,545047,36777,26405,5046,3993,40184,102595,51677,190731,607368.0155650679,1,266677
ABC985,37,Entrepreneur,633373,26359,8578,19623,8960,30933,143077,9224,46129,694067.7717548667,1,246754
ABC269,45,Self-Employed,90672,36767,26625,11789,8561,78748,60382,52472,94105,105652.62785459169,1,275344
ABC288,32,Self-Employed,201423,19028,23930,6245,8275,23898,129081,14446,187388,241227.06011618866,1,224903
ABC595,53,Student,692372,18981,17527,18477,6532,31041,33923,16773,245672,564424.2851709484,1,143254
ABC671,32,Retired,332015,23023,22440,15412,7684,14332,132809,35996,377993,313438.7784851559,0,251696
ABC516,37,Student,780188,23148,20960,9580,8158,66681,38272,54186,164976,801269.1966934499,1,220985
ABC719,27,Entrepreneur,325230,12772,22858,17151,8642,47931,94226,24354,64034,358969.70486186165,1,227934
ABC546,29,Retired,369034,47383,8090,14356,5609,56097,112371,5759,136847,421523.41472076805,1,249665
ABC257,26,Retired,370254,32747,23794,9247,7591,45814,97752,48477,226805,389228.672691522,1,265422
ABC782,29,Employee,617031,44103,14791,8482,6242,16730,42847,39693,152814,532666.1946216198,1,172888
ABC591,50,Entrepreneur,439415,25565,14461,10688,5912,29754,40116,56245,122620,406338.2510740473,1,182741
ABC318,44,Student,129498,16888,10009,11136,4979,20948,121309,56034,293518,153808.8560475723,0,241303
ABC936,21,Retired,614845,45881,25449,11486,7708,67136,146258,1599,30406,732755.659534975,1,305517
ABC989,38,Entrepreneur,124031,33848,23321,18793,9921,25986,27367,30520,50014,104315.83270013156,1,169756
ABC838,25,Self-Employed,400860,20076,15612,6338,8616,15758,77502,5512,125384,343277.5819167935,1,149414
ABC701,31,Retired,714099,32713,24311,10482,4130,57878,127486,18157,332949,642057.7646546535,1,275157
ABC220,52,Retired,510304,40678,27937,7462,6910,47985,83269,5050,171312,411249.30016015325,1,219291
ABC707,42,Retired,615721,18609,12369,6083,2186,51329,136318,9376,94550,573871.0584117867,1,236270
ABC819,25,Student,720679,42736,25543,17229,3745,34707,140823,347,346289,735051.5327684135,1,265130
ABC879,44,Student,173133,39594,29269,14009,6559,69714,113983,41539,249222,163436.4169676213,0,314667
ABC247,39,Self-Employed,216845,36000,29618,15516,4107,70673,28442,45307,345289,184367.18520771264,0,229663
ABC547,48,Employee,403596,49868,5036,16741,4726,42384,149990,36086,387699,467470.01531435363,1,304831
ABC983,36,Entrepreneur,697456,14530,12319,15695,6963,65133,122439,5827,208284,749463.7784543934,1,242906
ABC264,34,Self-Employed,426855,46244,15473,16165,8874,67344,101615,28860,41381,432218.0468822556,1,284575
ABC115,41,Retired,791304,36795,16146,6086,2228,47563,147197,28214,297453,816065.0498768312,1,284229
ABC116,57,Entrepreneur,289578,37269,9015,6645,2442,55050,75435,14783,303674,244333.156672271,0,200639
ABC443,45,Self-Employed,717952,27598,27969,11697,9813,69688,51607,44110,118180,615065.4209316112,1,242482
ABC497,26,Retired,267610,41352,28770,13475,6639,15038,29303,3648,296332,315106.07999668503,1,138225
ABC349,28,Entrepreneur,316594,27894,23929,6745,4554,47290,52603,49932,309893,275488.98331695376,0,212947
ABC188,58,Employee,545974,32710,14029,16475,6657,33021,51708,39356,235121,612716.1428960625,1,193956
ABC356,51,Self-Employed,187963,13537,14138,18721,2901,18844,60315,37875,194052,168616.99253477453,0,166331
ABC974,44,Employee,709967,22089,15666,19401,7317,64103,145818,31739,324345,746127.8776569626,1,306133
ABC695,48,Entrepreneur,568527,35591,19778,16686,7087,28639,130732,44696,233145,610527.9417414541,1,283209
ABC188,55,Entrepreneur,437459,10451,10940,19569,6523,34654,100002,47131,306156,384438.05269621895,1,229270
ABC409,22,Retired,109286,31842,25446,7858,7988,76763,66749,43127,20020,118695.1946625058,1,259773
ABC757,36,Entrepreneur,325227,11560,11239,12898,9999,71065,75301,2515,309091,292323.1304133406,0,194577
ABC251,21,Self-Employed,558767,34091,22262,11197,6114,23719,77405,21289,103040,487698.58670284244,1,196077
ABC632,60,Retired,276349,32927,10010,19006,5376,54775,106180,2226,213729,227058.24993328497,1,230500
ABC809,43,Employee,163456,12225,13617,10884,2263,68490,23491,4923,212980,178342.48151627838,0,135893
ABC712,56,Self-Employed,88389,31506,25350,10975,8959,31209,48188,39735,76642,100842.01664154622,1,195922
ABC317,25,Entrepreneur,321188,28100,6568,11134,2515,26741,114784,50640,215527,260883.55743940454,1,240482
ABC575,25,Student,135573,36219,10371,15668,2505,61023,32185,11356,173349,118745.41642292142,0,169327
ABC377,50,Retired,90322,13664,25711,17348,3930,48861,68817,22153,298768,91873.59917884006,0,200484
ABC986,24,Employee,310728,42700,13274,15775,5282,67922,132701,52265,44491,345707.4492372938,1,329919
ABC478,21,Self-Employed,335226,49127,25110,10128,8983,57716,89763,10309,315355,280559.67096543056,0,251136
ABC770,27,Employee,749769,12959,27466,17539,7418,21303,15477,32911,238689,886155.0786696865,1,135073
ABC252,36,Student,696213,44854,5395,19068,5010,48329,68757,4103,379099,640276.2393795126,1,195516
ABC122,32,Retired,228955,21793,7996,9642,5790,54043,118807,20062,216563,255323.64912173172,1,238133
ABC432,20,Employee,259809,25800,15760,12947,2325,16603,13747,10315,179672,245395.275778592,1,97497
ABC654,22,Employee,327170,32108,28784,13453,6890,72798,65788,21302,34230,367008.02907437965,1,241123
ABC200,41,Student,168216,24083,13187,18161,2796,54828,95698,47395,287936,158713.3100696462,0,256148
ABC639,26,Self-Employed,191465,17929,9027,17429,9344,32016,45308,55427,69759,187500.58700854986,1,186480
ABC123,47,Employee,580546,33408,27519,5500,7096,17072,25348,29623,342732,529670.5903102013,1,145566
ABC618,60,Student,775390,21315,17080,14106,8785,77340,60577,123,95760,882961.6703251504,1,199326
ABC113,38,Employee,251666,17197,11875,16181,7550,70678,138309,8439,71273,202952.78953336994,1,270229
ABC459,48,Student,518167,16962,20616,19184,6001,11192,100124,20157,49439,525677.7602312595,1,194236
ABC703,23,Employee,541235,46350,25682,11252,4167,19261,32904,28492,267263,462771.63738041354,1,168108
ABC157,50,Student,174090,21103,7947,10196,8350,74789,136091,54202,196599,197172.38770236648,1,312678
ABC420,37,Employee,176845,14986,21629,16641,8120,75294,135930,9953,393135,176856.4947700111,0,282553
ABC482,58,Student,596160,48717,6323,15620,7003,78549,101270,22481,339651,636148.6196818249,1,279963
ABC514,59,Employee,573765,20017,7292,10503,9754,30538,73303,41036,54415,673213.054443855,1,192443
ABC184,28,Self-Employed,491482,10002,9720,12768,8540,37303,131818,10599,228854,537104.6226742753,1,220750
ABC989,29,Employee,651800,28501,10279,15347,2364,22030,55143,12587,24215,665547.4989299218,1,146251
ABC644,37,Student,142582,49562,17872,6451,2308,50419,27990,43816,276652,125450.23262659513,0,198418
ABC894,42,Retired,793710,47968,9560,9794,2689,75327,133424,4974,151282,803879.0052920805,1,283736
ABC846,56,Retired,89032,35131,20616,15937,9280,71879,123324,37702,292255,99295.89840506771,0,313869
ABC153,47,Entrepreneur,372916,23739,15411,19969,9659,46762,89221,3614,154240,408579.2049699065,1,208375
ABC157,30,Self-Employed,193189,31622,23342,18674,7621,30806,18102,14413,82522,187059.507718001,1,144580
ABC598,40,Self-Employed,574670,22047,28248,18614,2375,42906,28014,31577,126824,634990.2567167481,1,173781
ABC842,26,Employee,243594,17014,14149,19030,3425,36770,31334,21932,89163,239008.79887844503,1,143654
ABC174,50,Student,57861,43550,14216,8075,5570,29768,145618,27303,169322,56027.1021186809,0,274100
ABC970,50,Employee,173468,30724,10551,7010,9668,35669,135562,4411,350661,197287.04935744192,0,233595
ABC492,39,Entrepreneur,374065,26380,14385,16339,8184,67677,121571,34634,31514,389968.334698381,1,289170
ABC414,42,Retired,88708,48902,14943,8984,4227,60655,119625,6410,301578,71971.40984751102,0,263746
ABC621,55,Student,699845,20746,15352,8549,7490,32383,15656,56288,38520,644484.410394061,1,156464
ABC273,44,Entrepreneur,474396,25385,13466,10308,7123,23887,74173,11356,53026,475314.01969798614,1,165698
ABC434,21,Entrepreneur,748495,12722,18553,16962,3563,57219,109013,4394,52129,740619.9432358854,1,222426
ABC812,32,Student,539125,30985,14133,17285,3691,14455,34664,11033,205573,438036.12085761473,1,126246
ABC606,38,Retired,386105,34351,27947,11030,6987,12182,16421,50780,108035,433192.0120291846,1,159698
ABC699,36,Entrepreneur,125043,31952,7667,19074,2909,10355,64714,13218,41339,145487.34112270825,1,149889
ABC297,45,Entrepreneur,670890,25916,9922,17949,9209,38856,58224,6375,265031,691619.8990085946,1,166451
ABC894,43,Student,93944,31084,12254,17971,9915,53391,109396,22927,37602,85354.49085856315,1,256938
ABC846,55,Self-Employed,162123,44705,28346,16504,2625,24215,66978,37147,43718,130744.86475817287,1,220520
ABC249,24,Student,305120,33066,12596,17561,6830,13171,59141,34177,385415,278675.3666383968,0,176542
ABC129,23,Retired,399510,33591,16997,13877,2026,40297,97587,51193,219436,478240.2258496292,1,255568
ABC413,41,Employee,443412,34422,19479,7515,5781,40152,130901,10635,31938,397208.79981002666,1,248885
ABC501,35,Self-Employed,663717,38831,9426,6371,4666,59221,105097,42718,275858,668161.6879471828,1,266330
ABC174,35,Retired,489356,37196,28878,6508,2675,10016,94426,18751,385242,541997.2851847581,1,198450
ABC314,21,Entrepreneur,114115,26004,22904,6385,4345,46698,137171,27690,115140,98738.8004233112,0,271197
ABC763,43,Entrepreneur,523598,19477,19301,7036,4851,20551,84292,42749,72975,472990.8024016617,1,198257
ABC950,28,Student,468966,40976,25008,19759,2522,36030,43068,51525,293324,506750.45910648245,1,218888
ABC236,53,Entrepreneur,359415,44669,21399,15244,7787,30335,25355,52562,106201,375171.4915923501,1,197351
ABC528,56,Self-Employed,609137,48098,10207,6746,2365,63925,129644,38637,46767,635550.618044996,1,299622
ABC538,27,Retired,788170,35476,12787,16609,9588,54876,93948,41661,225478,762366.9474566219,1,264945
ABC111,41,Self-Employed,243468,30430,6208,6465,8572,13981,89070,34024,116237,211895.865830517,1,188750
ABC535,44,Retired,750703,34948,8924,12771,3255,63608,135115,5502,235148,837353.7696603355,1,264123
ABC284,44,Retired,84358,24779,20388,14018,6025,69360,128833,32500,386825,86149.23913245989,0,295903
ABC567,36,Retired,783201,15765,18232,12667,4918,56520,39396,15948,23470,738882.0444975187,1,163446
ABC615,37,Employee,322807,33253,14000,19794,9671,60942,70631,37178,105326,362795.342207185,1,245469
ABC232,34,Self-Employed,747273,21808,10694,5643,4721,50220,89723,41518,359910,803235.4597825767,1,224327
ABC933,39,Retired,371974,24214,17678,16806,5073,70571,58128,49390,272049,389107.5037524072,1,241860
ABC881,54,Employee,464212,14667,21937,15470,3138,69838,69532,41855,59132,388600.88392932597,1,236437
ABC152,35,Retired,160375,19964,8769,7263,2051,18161,12134,1434,296287,183753.65189903072,0,69776
ABC556,20,Employee,515206,24934,19922,16991,2300,44086,67908,21493,296180,488472.0488476552,1,197634
ABC283,52,Self-Employed,271939,29884,8347,9273,8262,67971,44901,15815,55640,312906.1690972328,1,184453
ABC977,37,Retired,495146,42716,12061,15277,7290,67218,24195,29793,98751,410569.8884861779,1,198550
ABC508,56,Employee,463866,43906,28640,9931,7073,41021,133274,5762,315382,517990.5550573737,1,269607
ABC493,58,Self-Employed,649446,12430,29275,5723,3226,47054,136781,11300,234419,617069.7277578389,1,245789
ABC961,24,Retired,269182,34112,25669,15112,2945,37032,24792,56090,195068,316677.9011814692,1,195752
ABC822,36,Employee,579213,10381,12400,5439,6733,50906,104079,54769,127169,631666.0579731998,1,244707
ABC978,56,Retired,569092,44787,25849,9960,7356,73956,61327,59073,115933,548175.1689368233,1,282308
ABC406,43,Retired,73021,48766,21143,13840,6735,32081,48005,11377,119863,80666.73100824318,0,181947
ABC720,41,Entrepreneur,577818,44508,6624,18924,9616,71693,21340,2715,360477,654987.5331815174,1,175420
ABC406,25,Entrepreneur,147460,21424,6801,18932,3412,18311,141359,48813,72833,158903.32749498932,1,259052
ABC167,43,Employee,594378,21942,20069,6220,7338,46339,94075,4504,350001,482765.893787654,1,200487
ABC304,20,Entrepreneur,350538,47172,12818,14237,2993,20648,28397,53327,114658,339924.44856288645,1,179592
ABC664,49,Employee,679640,24987,23307,12127,9307,47772,80718,50682,27823,748393.650325124,1,248900
ABC935,32,Retired,147689,44801,24022,18851,9807,72479,63947,8649,82705,149543.3307686165,1,242556
ABC561,41,Employee,303880,21381,21379,8902,5097,75542,43133,44250,253857,277975.7447975504,1,219684
ABC358,29,Retired,384947,40319,14232,8968,5924,41184,38092,30018,61711,363078.0852574025,1,178737
ABC183,33,Employee,578028,24539,23772,13357,7264,61683,102126,5854,29895,672634.2784247391,1,238595
ABC650,59,Employee,633450,10775,10182,5542,9184,38825,100384,32940,89418,658052.7917965295,1,207832
ABC296,53,Employee,697752,18764,15582,9307,3830,67739,55804,15358,325086,674890.8644595578,1,186384
ABC880,42,Retired,758902,49402,6931,8083,9877,62466,57326,14089,304993,750561.5862678131,1,208174
ABC242,24,Employee,574376,35782,7389,13113,5641,65115,127175,48785,191470,641397.9366352865,1,303000
ABC645,42,Retired,560306,24722,14139,19745,4716,47980,109736,20546,391735,513935.39954433107,1,241584
ABC185,59,Student,303542,12086,8233,15704,8961,56876,47054,16704,78892,272768.82485144376,1,165618
ABC412,22,Entrepreneur,578657,29187,12057,7105,5772,64797,76464,53577,188508,554293.5575473778,1,248959
ABC301,21,Self-Employed,709782,12233,29939,18873,3100,46371,65352,51209,252204,810895.07014762,1,227077
ABC906,32,Employee,709347,39851,15649,18798,4149,33261,45641,13761,349213,819641.2609699853,1,171110
ABC500,20,Employee,151455,28218,17447,10956,9402,61739,18052,47718,269028,136140.70088238674,0,193532
ABC309,20,Employee,138821,43576,23440,8286,6910,16017,94123,21953,330527,140012.29050095152,0,214305
ABC544,34,Retired,370075,14980,25120,16784,8464,52468,131557,9217,56561,365345.4782168965,1,258590
ABC550,50,Retired,166181,44329,22912,10114,4065,20242,43251,40099,28489,135217.74393170027,1,185012
ABC878,54,Employee,343894,30761,13937,18651,4255,28275,59575,33397,324062,343347.3275721968,1,188851
ABC480,25,Retired,425227,14658,6193,6904,6821,38366,32305,17335,325854,441596.6708393675,1,122582
ABC986,20,Entrepreneur,685657,35659,25548,19678,2144,79655,89675,23251,355846,667371.4434588029,1,275610
ABC780,31,Self-Employed,579052,13769,15559,11699,3987,57915,17462,5421,114933,653392.2483550344,1,125812
ABC734,44,Entrepreneur,461099,33419,16051,13902,8882,59330,33234,35332,35640,459746.6240188497,1,200150
ABC605,48,Self-Employed,632700,34898,20375,7422,7067,45558,135739,14430,112846,552518.0926457804,1,265489
ABC928,35,Retired,253061,14158,25851,13676,3060,15571,70924,53428,261364,233122.5023700691,0,196668
ABC287,56,Student,764661,21685,7410,11407,9011,51401,59240,19263,388408,686899.2224983239,1,179417
ABC148,32,Student,446283,35401,9424,14804,9087,56294,19863,30129,140157,398013.7295233597,1,175002
ABC450,21,Employee,75149,38284,28888,8862,2231,66302,78610,55916,334103,74579.06741252114,0,279093
ABC802,29,Employee,737337,44270,25211,13314,8068,17153,21564,44721,58129,653582.1229226422,1,174301
ABC217,41,Self-Employed,377352,29267,22541,11954,3815,42826,94734,5045,84957,450179.5605200564,1,210182
ABC925,30,Self-Employed,685934,24491,26263,5985,9960,75035,48036,49929,369206,674370.3453257108,1,239699
ABC583,54,Self-Employed,529440,46472,25959,13236,5449,68029,67134,20436,374228,572160.4693269397,1,246715
ABC397,32,Student,235154,34636,26125,5355,7709,18813,14015,58679,104597,213086.85448219674,1,165332
ABC133,36,Retired,354304,16271,11348,12800,5571,50955,84560,1585,164828,289009.55676578963,1,183090
ABC928,34,Retired,77439,34086,20715,18676,9204,41992,115913,43407,334689,86952.29538395371,0,283993
ABC517,25,Self-Employed,198866,31347,14115,15181,2668,17556,149508,21402,388353,175958.87371468008,0,251777
ABC303,42,Student,321674,33886,23668,17111,5475,21929,84408,40047,391686,302079.4590494677,0,226524
ABC662,30,Employee,611562,24753,8183,18458,5571,53006,91035,39691,243595,710032.4464295111,1,240697
ABC968,43,Self-Employed,697144,27234,29942,16521,7836,41654,73553,57407,137366,694835.1592794046,1,254147
ABC214,48,Self-Employed,233495,39264,16872,14741,3228,19206,85804,46408,364365,195381.70885581206,0,225523
ABC412,57,Employee,488808,48731,22611,14350,3278,18778,68280,18488,89948,414541.9164361217,1,194516
ABC827,39,Retired,484137,34194,8265,17367,2892,35892,136430,21083,43722,487279.02266369393,1,256123
ABC143,31,Retired,76992,11705,17383,8105,9460,49315,99711,6499,57408,74877.06517725215,1,202178
ABC235,40,Employee,180270,48124,10046,14228,2709,57653,34522,55944,81779,157882.28814938097,1,223226
ABC323,29,Student,639823,26787,29180,18197,6022,23726,94785,7489,359638,638278.4042477533,1,206186
ABC406,54,Student,343754,31214,9446,9075,4749,67005,119760,41367,41619,386979.95122788765,1,282616
ABC843,57,Self-Employed,301683,31503,21330,8787,4380,17732,110530,23984,356634,251013.86000479138,0,218246
ABC567,25,Entrepreneur,374180,27682,20629,14072,5851,75034,20327,57444,63304,355099.9860854324,1,221039
ABC208,42,Retired,111557,36430,25820,5749,2053,51142,137590,50221,288994,93585.86453193687,0,309005
ABC689,25,Student,216955,41951,11681,9976,4167,65346,17236,31611,144078,176550.24325684164,1,181968
ABC399,39,Self-Employed,229605,27867,16790,13574,4947,39300,91641,29593,55784,190387.51863978314,1,223712
ABC877,59,Self-Employed,290719,28030,19587,16755,2508,55590,126163,25788,352324,323387.7712549084,0,274421
ABC162,22,Self-Employed,774222,48555,9317,17498,3416,42350,100920,21537,118476,850903.8362491316,1,243593
ABC664,36,Self-Employed,392843,22809,28810,16124,5508,55630,20735,43040,335931,419278.695001561,1,192656
ABC173,30,Retired,232604,49287,29174,5406,5115,18849,74936,45383,264941,190390.1533979021,0,228150
ABC541,59,Student,757697,11753,23563,7604,7432,18310,99520,58789,299004,884241.2545874179,1,226971
ABC676,34,Entrepreneur,776982,20812,29676,7555,9523,60290,122480,43638,354152,900913.8887989677,1,293974
ABC376,50,Employee,85804,30699,13493,18738,2917,65657,36777,12652,109886,76129.13934059614,0,180933
ABC860,43,Student,742120,47360,26856,8510,8822,26094,14844,7680,122035,787979.020843616,1,140166
ABC381,56,Self-Employed,538837,19416,27504,11444,3518,14010,40536,38042,359635,567861.8993203432,1,154470
ABC242,34,Student,389220,23476,16302,17783,8073,51323,117089,12198,279153,462373.6058222343,1,246244
ABC969,28,Employee,251152,15843,21815,13951,3426,10540,148307,45947,210382,247946.41425492254,1,259829
ABC739,60,Entrepreneur,99503,13900,23464,12253,3113,16165,148040,27120,372349,84429.32478981369,0,244055
ABC189,39,Self-Employed,401277,49451,7656,5870,6289,11266,30482,19049,176975,398017.5107371884,1,130063
ABC500,31,Retired,284518,39273,20436,10996,5302,75854,14187,34048,357114,317218.35370053153,0,200096
ABC356,53,Entrepreneur,668528,27500,12358,8094,5269,45429,119522,26031,106520,669627.9983509667,1,244203
ABC956,49,Entrepreneur,784570,47077,28291,15948,9272,32902,42560,26794,241127,839407.3994118572,1,202844
ABC958,38,Self-Employed,675095,11611,19477,8192,6642,75359,30997,38159,165528,624915.0133644106,1,190437
ABC635,57,Self-Employed,308620,22791,18315,16738,5188,24495,149085,32732,150085,330856.8440349939,1,269344
ABC859,48,Self-Employed,640178,10111,11715,19265,8241,39287,20869,37189,310506,703249.2206162112,1,146677
ABC736,45,Entrepreneur,768910,36078,21457,17800,6897,25055,117543,35984,283285,750470.6601675375,1,260814
ABC585,29,Student,279432,35566,10470,13778,2096,79818,128823,20324,334317,316568.3776255604,0,290875
ABC619,60,Retired,552362,36433,15366,16018,7043,53036,72899,260,43528,467244.1904824148,1,201055
ABC414,51,Student,348201,17970,27479,16192,2080,25079,14310,9656,87951,377176.6390436362,1,112766
ABC518,30,Student,392337,45591,10925,9842,4509,37383,25841,59687,206294,324722.4808904264,1,193778
ABC236,42,Self-Employed,289291,37387,27313,19664,7367,48482,79975,50105,98529,333614.0953524082,1,270293
ABC934,53,Retired,472751,44889,12178,8272,8871,59664,12748,31496,222013,416214.91074620007,1,178118
ABC663,22,Self-Employed,705386,13010,8728,19015,6056,71432,69136,51240,117407,737540.1484051773,1,238617
ABC279,33,Self-Employed,387933,38023,26913,18292,4518,51029,40451,14834,218155,341020.55498493754,1,194060
ABC360,45,Employee,310177,39677,24641,13518,9157,61848,55105,14548,316433,329543.2106070081,1,218494
ABC508,25,Entrepreneur,356129,48702,10962,17896,8442,17921,146760,59287,321298,290138.6022849052,0,309970
ABC890,35,Employee,358512,19008,7410,8702,7604,75380,66291,23261,210800,311594.649815568,1,207656
ABC887,32,Employee,572028,27796,24815,8447,2231,46775,138705,2341,371470,518739.61473565735,1,251110
ABC752,41,Employee,635213,33203,11847,8127,8278,16563,145252,11868,334206,573059.1935862298,1,235138
ABC708,46,Student,455245,16103,19124,7518,9261,59645,16261,42938,213411,451773.79499825934,1,170850
ABC760,30,Self-Employed,582711,26170,21098,16547,7990,10390,102585,12358,345773,479071.7918379255,1,197138
ABC969,32,Student,459474,43370,17566,12951,3261,71469,98929,59537,180790,381886.4331766314,1,307083
ABC588,25,Entrepreneur,574817,10257,25354,10657,5380,23895,26504,43738,297084,518254.9308956755,1,145785
ABC782,43,Entrepreneur,424590,38332,27957,13905,8790,45699,75765,21450,102407,415812.4637809007,1,231898
ABC731,46,Entrepreneur,176204,31419,27564,12260,8010,51222,55695,11020,368560,192082.73093214864,0,197190
ABC377,20,Employee,590640,45506,25769,8348,8116,36330,73138,34167,211247,655130.4007693174,1,231374
ABC977,35,Student,572287,41970,9225,10298,9315,58223,54175,37025,364948,529324.8008434849,1,220231
ABC542,57,Employee,505740,24150,26033,8715,5921,58636,132245,48995,339040,434539.7078759815,1,304695
ABC639,26,Employee,372919,45913,8274,15284,7831,20424,138994,29508,145714,393635.93821935094,1,266228
ABC607,23,Self-Employed,601917,20688,9032,5146,8456,74984,44081,5896,99353,611404.518910906,1,168283
ABC955,60,Self-Employed,74516,37829,24499,16143,3393,44770,92359,3841,116210,73080.53398312507,0,222834
ABC632,56,Employee,71691,42022,26575,14602,7172,31575,113990,34680,154851,77513.55436399252,0,270616
ABC427,49,Self-Employed,477682,13571,25552,12689,7714,68541,64900,14131,373638,408753.63312515273,1,207098
ABC177,32,Entrepreneur,657844,37599,20531,5883,8070,67812,107089,15265,352467,693713.8106043808,1,262249
ABC925,25,Entrepreneur,233648,18342,21477,16196,3725,15485,12451,54109,310790,274651.7118320002,0,141785
ABC498,20,Entrepreneur,576043,30043,29536,17313,6128,56083,99335,32834,71910,514511.2292647239,1,271272
ABC937,58,Student,774563,24329,5556,6428,9846,59462,65868,16584,71103,762120.0411032089,1,188073
ABC107,23,Retired,690068,16677,17097,16701,8722,72506,51124,21645,332999,811210.8160159928,1,204472
ABC120,30,Student,417761,28968,24154,11728,7899,66684,23896,19777,227795,484300.9177101304,1,183106
ABC553,43,Self-Employed,629883,44169,7054,8065,8814,21645,143146,42492,156000,706451.5147175158,1,275385
ABC939,49,Retired,277115,24733,17626,12846,5446,22796,61308,23375,245939,327893.3641732158,1,168130
